ID,诗名,花名,朝代,赏析_preview,zh_top5,zh_top10,sk_top5,sk_top10,共同token数,共同tokens,一致率
155,贺新郎,虞美人,宋,“履斋先生”，即南宋后期重臣吴潜，与吴文英很有交谊。“沧浪”，指沧浪亭，在苏州。,"访、-、""、乔、繚","访 - "" 乔 繚 越 华 时 均 巍",极、访、的、此、期,极 访 的 此 期 之 履 云 带 史,1,访,0.1
355,东风第一枝,棠梨花,清,仲春时节，菜花开放，淡黄色的花儿迎风摇动，卷起层层波浪，是诱人的。菜花散布在农民,上、遗、漫、仍、俏,上 遗 漫 仍 俏 钿 铺 不 阴 罗,地、卉、而、盛、的,地 卉 而 盛 的 妩 俏 仍 海 句,2,仍、俏,0.2
157,代迎春花招刘郎中,迎春花,唐,.公元828年(大和二年)春，白居易和刘禹锡先后自洛阳返长安，右迁赴任(刘除主客,除、>、写、日、冲,除 > 写 日 冲 折 植 带 周 皆,栽、日、的、长、>,栽 日 的 长 > 皆 公 说 于 幸,3,皆、日、>,0.3
5,和秦太虚梅花,梅花,宋,"东坡七古气势轩昂，若风檣阵马，一片神行，最能体现其“万斛泉源，不择地而出""，“滔","用、""、骨、建、坚","用 "" 骨 建 坚 和 观 患 恼 狂",章、忧、卷、拍、之,章 忧 卷 拍 之 难 的 经 于 虚,0,,0.0
6,十一月二十六日，松风亭下梅花盛开，,梅花,宋,宋哲宗绍圣元年(1094)，因御史虞策、来之邵等上言苏轼所作诰词多涉讥训，贬苏轼,律、随、女、正、度,律 随 女 正 度 裂 联 岐 因 佑,>、浑、淮、的、路,> 浑 淮 的 路 诗 律 余 为 他,1,律,0.1
7,再用前韵,梅花,宋,"这首诗与作者<松风亭下梅花盛开>一首(见前)可称姊妹篇。二诗用韵属“十三元""，本","""、来、韵、借、参",""" 来 韵 借 参 步 赠 疏 答 重",疏、属、苏、的、可,疏 属 苏 的 可 极 于 借 增 诗,2,借、疏,0.2
12,十一月中旬扶风界见梅花,梅花,唐,这首诗，据张采田《玉溪生年谱会笺》：“余按，此调尉时乞假赴泾西迎家室之作。”按商,匝、香、艳、方、饶,匝 香 艳 方 饶 与 挫 冀 非 调,光、簿、余、亮、艳,光 簿 余 亮 艳 神 科 方 惟 宜,2,艳、方,0.2
202,赏海棠三绝,樱桃花,宋,第一首交代了赏花的缘由，以及为赏花做的准备工作。 诗人不无感慨地说：百花盛开的春,修、占、含、断、观,修 占 含 断 观 独 字 聊 代 借,聊、对、赏、味、句,聊 对 赏 味 句 活 字 思 于 娇,2,字、聊,0.2
179,折海棠戏赠圣俞,樱桃花,宋,这是欧阳修与当时著名诗人梅尧臣唱和的一首诗。梅尧臣字圣俞，宣城人。宣城古名宛陵，,"众、""、砾、宛、片","众 "" 砾 宛 片 乱 摇 字 梅 短",貌、氛、和、的、差,貌 氛 和 的 差 修 命 即 造 曾,0,,0.0
181,寓居定惠院之东，杂花溝山，有海棠一株，土人不知贵也,樱桃花,宋,宋神宗元丰二年(1079)，王安石虽已罢相，但他所推行的新法仍在施行，朝中御史中,"相、古、藉、法、""","相 古 藉 法 "" 居 我 将 句 大",诗、的、于、花、盛,诗 的 于 花 盛 轼 相 乌 寂 >,1,相,0.1
182,张园海棠,樱桃花,宋,欲写海棠却先以极为名贵的洛阳牡丹和扬州芍药作为陪衬。这首诗的构思别开生面，颇为巧,"聚、肉、""、种、仁","聚 肉 "" 种 仁 簇 欲 造 间 药",之、育、映、叶、沙,之 育 映 叶 沙 来 品 种 发 用,1,种,0.1
183,海棠歌,樱桃花,宋,这首诗写于陆游离开四川“东归”以后。全诗贯穿着对西蜀海棠的回忆，也贯穿着对八年四,"""、发、-、鬓、血",""" 发 - 鬓 血 东 前 那 等 坊",离、集、盛、灿、段,离 集 盛 灿 段 于 诗 蜀 妙 对,0,,0.0
185,海 棠,樱桃花,宋,"前人曾称誉王维诗中有画。郭稹的这首七律也似…-幅画。试看：朱栏下,横塘边，几株海",繁、律、红、破、幅,繁 律 红 破 幅 君 墙 东 依 即,赞、歌、对、从、受,赞 歌 对 从 受 境 赏 意 派 的,0,,0.0
187,海棠,樱桃花,宋,刘子晕（hui)是南宋文学家，字彦冲，号病翁，福建崇安人。曾任兴化军通判，后退居,容、掉、翠、场、借,容 掉 翠 场 借 题 轻 洗 拂 想,夜、轻、诗、容、画,夜 轻 诗 容 画 的 格 越 从 拂,3,拂、容、轻,0.3
211,黄海棠,樱桃花,金,蔡松年，金文学家。字伯坚，号萧闲老人。真定(今河北正定)人。以宋人而随父降金，官,种、排、相、激、长,种 排 相 激 长 开 层 比 最 奇,种、蕊、斑、的、花,种 蕊 斑 的 花 且 蕾 子 叶 最,2,最、种,0.2
218,如梦令,樱桃花,宋,这首《如梦令>是李清照在她早年的一个暮春时节，抒发她对风雨中的海棠花的关切之情的,浓、看、消、词、美,浓 看 消 词 美 应 如 起 道 疏,浓、地、篇、之、观,浓 地 篇 之 观 们 急 些 内 余,1,浓,0.1
224,宴清都,樱桃花,宋,在吴文英二十几首咏花词中，咏梅词屡见，咏连理海棠则仅此一首，而这一首却是吴文英咏,交、合、盒、兼、瑶,交 合 盒 兼 瑶 倚 云 直 足 钿,仗、紧、词、写、典,仗 紧 词 写 典 交 绣 的 咏 低,1,交,0.1
221,南乡子,樱桃花,宋,这首词写的是冬日海棠。诗人通过静境与动境的对照，画出了一幅五彩缤纷的图画。 上片,半、岁、耐、秦、首,半 岁 耐 秦 首 小 点 转 冷 酥,叶、的、之、写、雾,叶 的 之 写 雾 天 半 > 艳 雨,1,半,0.1
223,二月二十四夜饮海棠下作,樱桃花,宋,清人李调元在(雨村诗话>中称：“刘后村克庄有<满江红>十二首，悲壮激烈，有敲碎唾,"""、颇、爱、成、均",""" 颇 爱 成 均 许 尚 眼 饮 己",词、惜、的、夜、中,词 惜 的 夜 中 义 咏 都 花 宋,0,,0.0
225,摸鱼儿,樱桃花,宋,老天爷象是有意和爱花的词人作对，人春以来气候反常，连续低温阴雨，海棠花迟迟不开。,-、句、词、遽、牵,- 句 词 遽 牵 易 老 标 佛 断,的、之、春、恨、断,的 之 春 恨 断 公 美 和 花 续,1,断,0.1
226,风雨看舟前落花戏为新句,桃花,唐,杜甫有着高超的艺术技巧，他的许多诗歌作品都以体物得神，描摹精微而赢得读者的喜爱。,"""、妒、遭、影、潜",""" 妒 遭 影 潜 解 履 诗 炼 便",逆、巧、解、态、妒,逆 巧 解 态 妒 之 画 诗 于 遭,4,诗、解、妒、遭,0.4
227,绯桃花歌,桃花,唐,欧阳修的这首七言占诗，将一树绯桃花与自己之间的感情表现得相当真切动人。 开头六句,书、把、虽、等、满,书 把 虽 等 满 朵 个 爱 占 说,朵、本、繁、满、希,朵 本 繁 满 希 之 的 开 往 玩,2,满、朵,0.2
219,如梦令,樱桃花,宋,吴潜是南宋大臣，理宗朝官至左丞相。主张加强战守之备以抗御元兵，对南宋朝廷的苟且偷,好、惊、循、宣、腔,好 惊 循 宣 腔 免 吴 善 晓 呵,呵、宣、那、园、的,呵 宣 那 园 的 定 令 志 念 着,2,呵、宣,0.2
495,柳花词三首,杨花,唐,柳花，又称杨花，色白而质轻，状如白絮，故俗称柳絮。在百花开过的晚春，柳花慢慢地从,散、远、条、却、写,散 远 条 却 写 红 能 丝 复 破,的、散、叶、远、貌,的 散 叶 远 貌 从 她 条 條 之,3,条、散、远,0.3
406,水龙吟,牡丹,宋,这是·首咏牡丹的词。起二句，是问花。词中主人公因“晓寒”而“慵揭珠帘”，但心中却,花、问、和、春、酒,"花 问 和 春 酒 "" 艳 把 字 院",醉、揭、用、慵、公,醉 揭 用 慵 公 开 字 意 花 落,2,字、花,0.2
481,喜迁莺,虞美人,元,这首词不从描摹琼花之姿容写起，而是以琼花落尽之“恨”开笔，极反衬作用，极有深婉刻,谪、信、怜、恨、写,谪 信 怜 恨 写 演 关 番 久 但,指、恨、之、早、但,指 恨 之 早 但 泛 番 候 的 风,3,但、恨、番,0.3
388,惜牡丹花,牡丹,唐,唐人特别喜爱牡丹花，据《国史补>记载，每年暮春时节，牡丹盛开，长安城里车马若狂，,补、花、芳、唐、惜,补 花 芳 唐 惜 片 残 剩 谢 段,里、的、旨、整、写,里 的 旨 整 写 余 品 借 涌 秉,0,,0.0
369,牡 丹,牡丹,唐,李商隐(812一858?)，字义山，号玉溪生，怀州河内(今河南沁阳县)人。开成二,被、越、修、嫌、犹,被 越 修 嫌 犹 原 耻 内 好 成,越、之、>、花、后,越 之 > 花 后 帐 句 知 的 訾,1,越,0.1
363,远公亭牡丹,牡丹,唐,首二句交代地点，并点出歌咏对象。东晋僧人慧远，雁门楼烦人，居庐山东林寺，世人称为,独、联、为、董、慧,独 联 为 董 慧 蚂 吟 居 顾 即,典、从、写、云、慧,典 从 写 云 慧 递 并 的 为 繁,2,为、慧,0.2
470,金沙花,金沙,宋,这是一首风趣的咏物小诗。诗的前两句以轻快俏皮的口气说：院中的两株松树相依相偎，象,分、杨、与、题、本,分 杨 与 题 本 长 向 说 迫 头,景、象、改、的、怀,景 象 改 的 怀 说 美 地 首 生,1,说,0.1
465,玲珑四犯,蔷薇,宋,好一架幽洁芬芳的茶䕷花呵，打从梅花开后，就数她最清雅脱俗了。挂着露珠的叶片，檀红,条、荼、数、最、矣,条 荼 数 最 矣 赋 好 比 架 向,象、数、花、的、极,象 数 花 的 极 她 叶 和 最 描,2,数、最,0.2
505,如梦,杨花,清,这是曹雪芹在(红楼梦>第七十回为书中人物史湘云拟写的--首小令，因而它实际上体现,去、半、笑、残、使,"去 半 笑 残 使 啼 香 鹃 向 """,香、诗、倒、蒙、的,香 诗 倒 蒙 的 因 雾 史 看 典,1,香,0.1
472,后土庙琼花诗二首,琼花,宋,扬州琼花，千余年来，极负盛名，历代文人为她写下了许多名篇佳什。“琼花”一名，首见,阿、观、璧、题、咏,阿 观 璧 题 咏 随 扬 芜 天 满,千、品、观、歌、于,千 品 观 歌 于 卉 咏 随 堤 的,3,随、观、咏,0.3
466,贺新郎,蔷薇,宋,荼䕷，一作酴醾。另有独步香、琼绶带、雪缨络等别名。从这些名称中已可窥见此花洁白如,荼、日、妾、也、相,荼 日 妾 也 相 蟾 姚 恍 络 梦,花、醾、从、作、的,花 醾 从 作 的 荼 诗 呢 寓 她,1,荼,0.1
440,六 丑,蔷薇,宋,周邦彦(六丑>是一首咏蔷薇的杰作。蒋敦复《芬陀利室词话>：“清真《六丑>一词，精,"""、惆、正、掷、平",""" 惆 正 掷 平 皆 记 归 谢 成",极、客、成、篇、地,极 客 成 篇 地 咏 首 怅 归 逆,2,归、成,0.2
479,扬州慢,虞美人,宋,此词盖因友人折赠琼花数枝，兴之所至，率尔而作。最初之创作意图只是赋花，不料写作过,分、拟、祠、禁、感,分 拟 祠 禁 感 辄 还 喻 词 写,她、之、闋、花、赋,她 之 闋 花 赋 友 质 咏 篇 短,0,,0.0
421,兰 花,兰花,清,兰花，赤节绿叶，柔韧光洁，历来为志士幽人所激赏。作为我国民主革命的先驱，秋瑾笔下,羞、树、兮、遂、齐,羞 树 兮 遂 齐 上 栽 指 等 种,羞、栽、化、余、德,羞 栽 化 余 德 的 戴 从 独 轩,2,羞、栽,0.2
512,声声慢,杨花,宋,周密的这首词以绮丽多姿之笔和爱怜赞赏之情，描绘暮春三月的柳花在韶风时吹、晴雨骤变,章、青、记、游、曾,章 青 记 游 曾 新 多 芳 最 词,韶、的、气、咏、挂,韶 的 气 咏 挂 或 典 给 沾 字,0,,0.0
515,水龙吟,杨花,宋,"苏轼<水龙吟>词，有一个题目:""次韵章质夫杨花词""。次韵就是按原作韵脚的次序来写",思、'、次、还、章,思 ' 次 还 章 夫 和 韵 唱 惹,词、韵、它、坠、飘,词 韵 它 坠 飘 香 话 从 别 才,1,韵,0.1
516,水龙吟,杨花,明,章质甫，即章质夫，名，北宋人，官至枢密院事，曾作《杨花词》，苏东坡和之。两词均传,全、-、恁、作、似,全 - 恁 作 似 解 才 阁 惨 轻,舞、的、惨、絮、日,舞 的 惨 絮 日 抒 晚 呢 吗 咏,1,惨,0.1
521,木棉花歌,木棉花,清,这首诗的作者陈恭尹是广东人，他的父亲在抗清斗争中英勇殉难。明亡后，他继承父志，拒,朱、象、蹄、酣、仰,"朱 象 蹄 酣 仰 参 "" 为 事 故",的、象、爵、般、诗,的 象 爵 般 诗 写 南 明 清 室,1,象,0.1
343,念奴娇,素馨,宋,这首词咏素馨花，是宋词中继.王灼后咏同类花中不可多得的佳什。素馨，又称耶悉茗。佛,调、丛、那、麽、上,调 丛 那 麽 上 首 悉 蕊 耶 花,销、咏、鬘、为、暑,销 咏 鬘 为 暑 的 仙 临 由 之,0,,0.0
346,木 兰,木兰,宋,木兰花，·名木莲，又名黄心。木本，树高五、六丈，枝叶扶疏，其叶厚大。因此，在诗人,其、本、杂、写、闻,其 本 杂 写 闻 心 俗 竟 似 他,重、叶、的、象、树,重 叶 的 象 树 诗 昂 炷 没 色,0,,0.0
345,剪春罗,剪春罗,清,剪春罗，柔茎绿叶，花深红而艳丽，若轻罗剪成，这名目便颇富诗意。聪颖灵秀的女诗人于,剪、唤、诗、似、织,剪 唤 诗 似 织 指 罗 春 这 便,呼、叶、剪、唤、想,呼 叶 剪 唤 想 那 尔 而 用 染,2,唤、剪,0.2
339,绣 球,绣球,明,nan,n、na,n na,n、na,n na,2,n、na,0.2
329,腊前月季,月季,宋,杨万里的这首咏月季诗并无多少新意。不过，其中“一尖已剥胭脂笔，四破犹包翡翠茸”-,尖、破、包、剥、联,尖 破 包 剥 联 常 已 犹 中 茸,剥、美、的、万、联,剥 美 的 万 联 之 性 尖 摹 颈,3,尖、剥、联,0.3
327,东风第一枝,玉兰,清,这首词描绘渲染了玉兰花雅淡皎洁之美，也显示出作者个人雅洁自好的志趣情怀。 词人一,爱、搓、白、犯、侵,爱 搓 白 犯 侵 闵 好 琼 即 总,微、的、玉、白、楼,微 的 玉 白 楼 透 之 花 也 首,1,白,0.1
321,梨 花,李花,元,轻柔，象纷扬飘落的花瓣；深沉，象一泓蓝色的春水；迷离，象幸福甜蜜的梦境；飘渺，象,轻、别、尽、渚、相,轻 别 尽 渚 相 长 霏 泓 柔 我,力、指、喻、想、的,力 指 喻 想 的 运 云 空 品 强,0,,0.0
228,桃 花,桃花,明,在这首诗中，作者没有正面写存天的桃花如何鲜艳动人，它如何在朝阳晨雾中依栏开放。对,颜、依、读、梳、匀,颜 依 读 梳 匀 比 搽 写 使 鬟,于、地、命、实、创,于 地 命 实 创 泼 拟 中 漓 抒,0,,0.0
291,画堂春,杏花,明,春天刚至，乍暖还寒。在一个轻阴微雨的日子里，在一座春水漫漫的小桥边，主人公驻足而,著、番、弄、歇、青,著 番 弄 歇 青 影 片 > 破 春,"之、""、堤、转、娇","之 "" 堤 转 娇 , 物 所 弄 山",1,弄,0.1
259,定风波,桃花,宋,此词咏桃花而辞涉艳情，可能有本事，也可能没有本事。不能起词人于九泉之下，问他一个,"""、应、结、华、用",""" 应 结 华 用 片 贪 叩 化 皂",辞、词、源、说、文,辞 词 源 说 文 咏 化 盖 涉 中,1,化,0.1
260,露 华,桃花,宋,这首咏碧桃词，以其取径曲、布势远的结构特点和创造拟人化的象征意象、反熟为生的特点,紺、记、裙、远、临,"紺 记 裙 远 临 咏 红 除 小 """,征、记、树、远、化,征 记 树 远 化 之 空 和 的 于,2,记、远,0.2
266,杏‘ 花,杏花,宋,王安石这首《杏花》，可能是他退居金陵之后所作。写他一次出外漫游，见到水中杏花倒影,"宝、""、条、度、古","宝 "" 条 度 古 脉 痕 色 联 写",的、里、痕、也、者,的 里 痕 也 者 栏 眼 之 他 题,1,痕,0.1
255,潘岳爱桃,桃花,明,潘岳，西晋时有名的诗赋家，字安仁，俗称潘安，这个特殊的历史人物，给后人的认识是复,花、掷、常、爱、亡,花 掷 常 爱 亡 潘 果 与 美 难,与、郎、诗、思、暗,与 郎 诗 思 暗 的 岳 美 仁 易,2,美、与,0.2
268,杏 花,杏花,唐,这是一首借咏花来写志抒情的七言古风。在此，先得简单回顾-下这诗的写作背景。众所共,哦、被、徙、愈、致,哦 被 徙 愈 致 诗 贬 连 便 所,的、展、诗、韩、于,的 展 诗 韩 于 算 使 之 花 物,1,诗,0.1
286,游园不值,杏花,宋,《游园不值>是南宋诗人叶绍翁(生平不详)的传世名篇。诗题既是《游园不值>，就非专,名、枝、澹、都、遮,名 枝 澹 都 遮 作 > 来 融 更,起、名、绍、发、能,起 名 绍 发 能 为 虽 陆 他 断,1,名,0.1
542,浪淘沙,芍药,宋,暮春时节，争芳斗艳的众花差不多已凋落殆尽。鹃鹪的声声啼叫哀怨凄切，闻之令人肠断。,规、故、望、妆、子,规 故 望 妆 子 看 抹 新 殿 好,叶、许、鶗、鹃、诗,叶 许 鶗 鹃 诗 殿 浓 写 的 窣,1,殿,0.1
543,水龙吟,芍药,宋,咏物词的结构通常是上片形容描绘物象本身，追求形似或神似的艺术效果；下片则结合所咏,眺、层、老、片、拟,眺 层 老 片 拟 典 词 低 蝉 带,射、的、du、云、地,射 的 du 云 地 化 象 通 被 或,0,,0.0
544,望海潮,芍药,宋,晁补之是苏轼门下四学士之一，甚有才名。<四库全书总目提要>说“其词神姿高秀，与轼,"""、闵、愈、肥、予",""" 闵 愈 肥 予 丛 困 吏 守 据",闋、词、的、翻、守,闋 词 的 翻 守 奇 以 株 之 诗,1,守,0.1
559,定风波,杜鹃,宋,以写豪放词著称的辛弃疾一生也写了不少咏花的词作。本篇就是其中的一首。 上闋写杜鹃,词、阵、却、似、写,词 阵 却 似 写 为 蜀 花 小 女,声、闋、写、花、的,声 闋 写 花 的 诗 从 海 描 却,3,写、却、花,0.3
564,赋虞美人草,虞美人,宋,姜夔是著名的词人，同时又写得一手好诗，这在古代文学史上是颇为难得的。这首诗前半写,"可、冢、日、""、披","可 冢 日 "" 披 兮 辞 浩 吹 力",之、指、兮、色、的,之 指 兮 色 的 显 怨 同 诗 帐,1,兮,0.1
569,虞美人,虞美人,清,虞美人花，本名丽春，因为花色美丽，后来，人们就以楚霸王项羽的爱妾虞姬一——虞美人,虞、和、凛、说、怜,虞 和 凛 说 怜 过 丽 春 东 美,宫、呼、王、她、项,宫 呼 王 她 项 歌 地 死 许 的,0,,0.0
610,石竹花,石竹,宋,作为一首咏物诗，作者对于所咏对象的态度往往是比较鲜明的，或者因喜好而赞美，或者由,霜、经、猷、姿、艳,"霜 经 猷 姿 艳 筠 常 "" 真 由",光、的、篇、之、率,光 的 篇 之 率 经 字 常 种 石,2,经、常,0.2
600,西园石榴开,榴花,宋,古往今来，因观花而伤春者多矣；借咏花而寄咏怀者亦多矣。然欧阳文忠公这首咏榴花诗却,密、初、观、极、美,密 初 观 极 美 之 攀 繁 春 觉,写、借、的、叶、之,写 借 的 叶 之 照 该 眼 呵 他,1,之,0.1
595,咏邻女东窗海石榴,榴花,唐,古今中外的诗史上，用花儿比美女，比心上人已成为惯例。好的比喻，妙的比喻，常为人借,比、榴、正、美、鲁,比 榴 正 美 鲁 娇 情 瑚 咏 者,之、致、儿、景、起,之 致 儿 景 起 优 史 作 些 情,1,情,0.1
596,赋园中所有,榴花,宋,这是一首寄意幽深的诗。写诗赋景，借物抒情，一般都选取成熟、美艳的标本来歌颂，而本,崎、病、岂、残、容,崎 病 岂 残 容 则 沉 借 堂 遮,色、遇、拿、力、当,色 遇 拿 力 当 的 华 以 质 写,0,,0.0
597,榴 花,榴花,明,这是一派美丽的景致，一幅绚丽的画图。一般人是不把榴花当作奇物和雅卉来供奉的，这儿,趣、盆、至、故、盘,趣 盆 至 故 盘 多 缚 竟 卉 魂,们、值、敏、儿、中,们 值 敏 儿 中 剧 力 市 她 此,0,,0.0
608,贺新郎,榴花,宋,关于苏轼《贺新郎>咏榴花词的写作背景，在宋代就有几种不同的说法:杨湜<古今词话>,缺、鸿、赋、疏、乳,缺 鸿 赋 疏 乳 比 说 榴 挂 也,疏、的、树、守、背,疏 的 树 守 背 之 于 和 用 美,1,疏,0.1
598,榴 花,榴花,金,诗的起首，诗人就用了四种花儿和榴花比较，这四种是山茶、桃花、戎葵、米囊(即罂粟花,诗、模、引、用、写,诗 模 引 用 写 即 粟 绯 挚 米,的、替、心、我、囊,的 替 心 我 囊 简 儿 写 诗 转,2,写、诗,0.2
615,栀 子,栀子花,宋,栀子花为常绿灌木，古人以为就是西域的薝蔔。也有人说薝蔔是金色花，而栀子花是白色的,"葡、白、""、玉、蔔","葡 白 "" 玉 蔔 寒 影 栀 仍 萄",的、宜、从、伪、皎,的 宜 从 伪 皎 古 蔔 质 法 人,1,蔔,0.1
599,海 榴,榴花,唐,单纯的咏花诗，即使写得再细致，刻画得再精微，也不会得到人们的钟爱，那只能是植物的,报、国、伤、词、应,报 国 伤 词 应 海 只 美 本 引,之、另、摹、乱、确,之 另 摹 乱 确 种 写 常 罗 于,0,,0.0
614,雨过山村,栀子花,唐,“竹溪村路板桥斜”。如果说首句已显出山村之“幽”，那么，次句就由曲径通幽的过程描,原、精、少、斜、深,原 精 少 斜 深 禁 龙 书 似 蚕,斜、深、去、么、的,"斜 深 去 么 的 "" 睦 美 来 种",2,深、斜,0.2
601,榴 花,榴花,宋,石榴花在众花中不是奇品名种，也不是天香国色，但它自是别具风韵。其叶青翠笼葱，其花,-、窈、邻、幽、石,- 窈 邻 幽 石 可 户 当 落 应,儿、真、种、但、花,儿 真 种 但 花 碎 落 用 的 来,1,落,0.1
603,榴 花,榴花,唐,韩愈《题张十一旅舍三咏>包括(榴花>、(井>、《葡萄>三篇，作于唐宪宗元和元年(,署、见、起、-、题,署 见 起 - 题 同 用 初 咏 愈,之、用、越、流、映,之 用 越 流 映 写 彩 的 最 叶,1,用,0.1
607,庆清朝,榴花,宋,“西邻窈窕，独怜人户飞红。前度绿荫载酒，枝头色比舞裙同。”接着换笔另起，写西邻淑,"""、攒、海、拟、-",""" 攒 海 拟 - 人 作 实 怜 同",的、落、唐、艳、下,的 落 唐 艳 下 了 孤 剪 呢 法,0,,0.0
612,赋石竹,石竹,元,"篱落多为庭院间物，以篱护院，其居处简陋可知，况且这又是一道“短篱”。“梢梢""既为",院、指、葱、点、短,院 指 葱 点 短 则 见 工 素 缀,落、貌、纤、指、么,落 貌 纤 指 么 庭 陌 的 出 素,2,素、指,0.2
609,石竹咏,石竹,唐,咏物诗大多是托物以言志或借物以抒情，而在这首诗中，诗人则干脆摇身一变，化而为石竹,常、情、垂、令、恐,常 情 垂 令 恐 咏 失 思 运 写,情、说、垂、思、地,情 说 垂 思 地 谁 恐 咏 象 貌,5,垂、恐、思、情、咏,0.5
611,石竹花,石竹,宋,王安石既是一位锐意改革的政治家，又是一位情感丰富的文学家。死后且不论，生前即多遭,"始、临、多、晚、""","始 临 多 晚 "" 即 车 浅 独 敷",某、落、怀、花、限,某 落 怀 花 限 归 种 点 来 明,0,,0.0
872,题菊花,菊花,唐,唐末诗人林宽有这样两句诗：“莫言马上得天下，自古英雄皆解诗。”古往今来，确有不少,种、写、劲、飒、开,种 写 劲 飒 开 这 韵 诗 标 伴,写、独、蝶、飒、象,写 独 蝶 飒 象 的 确 令 隐 值,2,写、飒,0.2
663,白 莲,木芙蓉,唐,清初，提倡“神韵说”的王渔洋非常欢喜这首诗。他说：“无情二语，恰是咏白莲诗，移用,我、写、说、却、恨,我 写 说 却 恨 莲 > 神 俗 药,?、但、位、于、问,? 但 位 于 问 恨 咏 纯 成 见,1,恨,0.1
642,张静婉采莲曲,荷花,唐,<张静婉采莲曲>是乐府旧题，属清商曲辞。据(梁书>说，张静婉是羊侃家舞女。其“容,"""、度、温、销、发",""" 度 温 销 发 即 客 珂 天 抛",鶒、施、诗、温、云,鶒 施 诗 温 云 > 的 写 这 晚,1,温,0.1
704,水龙吟白莲,虞美人,宋,·此词脉白。全词采用自然时序的过去—现在——将来的纵式结构形态。上片写，写白莲之,片、试、按、彻、脉,片 试 按 彻 脉 末 拟 寻 毕 写,叶、花、化、之、吹,叶 花 化 之 吹 于 天 遍 佳 彻,1,彻,0.1
639,奉酬卢给事云夫四兄曲江荷花行见寄并呈上钱七兄阁老张十八助教,荷花,唐,曲江千顷秋波净，平铺红云盖明镜。大明宫中给事，归，走马来看立不正。遗我明珠九十六,老、笞、即、籍、汀,老 笞 即 籍 汀 酬 明 我 阁 和,云、昆、诗、韩、之,云 昆 诗 韩 之 卢 院 都 崔 为,0,,0.0
638,采莲曲,荷花,唐,第一层可算相思发端。-个美丽的采莲女(从“桂棹兰桡”和“罗裙玉腕”可以想见)在一,少、敷、已、层、更,少 敷 已 层 更 秦 时 那 - 比,赏、揭、貌、层、光,赏 揭 貌 层 光 尊 的 香 阵 象,1,层,0.1
