poet,title,dynasty,poem_raw,text,polarity,pseudo_label,pseudo_label_zh,top_score,score_anger,score_criticize,score_ease,score_faith,score_fear,score_guilt,score_joy,score_like,score_misgive,score_miss,score_peculiar,score_praise,score_sorrow,score_vexed,score_wish
元稹,酬乐天频梦微之,唐,山水万重书断绝|念君怜我梦相闻|我今因病魂颠倒|唯梦闲人不梦君,山水万重书断绝念君怜我梦相闻我今因病魂颠倒唯梦闲人不梦君,Negative,criticize,批判指责,0.26657549820201404,0.0,0.26657549820201404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08453283499486222,0.0,0.0,0.0
范成大,吊陈叔宝词,宋,赏心亭上再来游|烟月迷人独自愁|行到江边无去路|却随潮水过扬州,赏心亭上再来游烟月迷人独自愁行到江边无去路却随潮水过扬州,Implicit Negative,vexed,烦恼苦闷,0.11583465265113833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11350001355835748,0.0,0.0,0.0,0.0,0.0,0.11583465265113833,0.0
金朋说,汉党锢,宋,坑士焚书已促秦|前途覆辙又因循|范滂一命何须惜|可叹颠危汉室倾,坑士焚书已促秦前途覆辙又因循范滂一命何须惜可叹颠危汉室倾,Implicit Negative,criticize,批判指责,0.1777169988013427,0.0,0.1777169988013427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08453283499486222,0.10384909807107472,0.0,0.0
屈大均,赠某弁新婚,明,此日佳人宜换马|而君偏惹丽华来|燕裙赵带从军乐|不念闺中长绿苔,此日佳人宜换马而君偏惹丽华来燕裙赵带从军乐不念闺中长绿苔,Implicit Positive,like,喜爱欣赏,0.11350001355835748,0.0,0.0,0.0,0.0,0.0,0.0,0.10994572281936191,0.11350001355835748,0.0,0.0,0.0,0.08453283499486222,0.0,0.0,0.0
释行海,有怀,宋,燕无消息雁都回|三叠阳关笛更哀|可惜梅花逢夜雨|一场春怨满苍苔,燕无消息雁都回三叠阳关笛更哀可惜梅花逢夜雨一场春怨满苍苔,Implicit Negative,sorrow,悲伤哀痛,0.20769819614214943,0.0,0.08885849940067135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20769819614214943,0.0,0.0
王安石,遇雪,宋,定知花发是归期|不奈归心日日归|风雪岂知行客恨|向人更作落花飞,定知花发是归期不奈归心日日归风雪岂知行客恨向人更作落花飞,Implicit Negative,sorrow,悲伤哀痛,0.10384909807107472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08453283499486222,0.10384909807107472,0.0,0.0
白玉蟾,画石二首,宋,直作壶中九华看|碧于簪玉小于拳|好藏莫便令人见|恐有痴情似米颠,直作壶中九华看碧于簪玉小于拳好藏莫便令人见恐有痴情似米颠,Implicit Positive,like,喜爱欣赏,0.11350001355835748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11350001355835748,0.0,0.0,0.0,0.0,0.0,0.0,0.0
陆游,看镜二首,宋,七十衰翁卧故山|镜中无复旧朱颜|一联轻甲流尘积|不为君王戍玉关,七十衰翁卧故山镜中无复旧朱颜一联轻甲流尘积不为君王戍玉关,Implicit Negative,sorrow,悲伤哀痛,0.10384909807107472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10384909807107472,0.0,0.0
晁说之,叠前,宋,董生今日窥园圃|几许伤心涕泪垂|金令不行呈木怪|无端灾异乐哀为,董生今日窥园圃几许伤心涕泪垂金令不行呈木怪无端灾异乐哀为,Implicit Negative,sorrow,悲伤哀痛,0.31154729421322414,0.0,0.08885849940067135,0.0,0.0,0.0,0.0,0.10994572281936191,0.0,0.0,0.0,0.0,0.0,0.31154729421322414,0.0,0.0
范成大,老陈道人自云梦被召作地上主者又常受一贵家供祝之曰他日必来吾家作儿戏赠小颂,宋,野人何苦赴官差|符使追呼挠道怀|幸有于门香积供|不如随喜去罗斋,野人何苦赴官差符使追呼挠道怀幸有于门香积供不如随喜去罗斋,Neutral,faith,坚定信念,0.13347832467375914,0.0,0.08885849940067135,0.0,0.13347832467375914,0.0,0.0,0.10994572281936191,0.0,0.0,0.0,0.0,0.08453283499486222,0.0,0.11583465265113833,0.0
陆游,北窗,宋,寒泉断藕素丝长|纹簟开瓜碧玉香|午睡觉来桐影转|无人可共北窗凉,寒泉断藕素丝长纹簟开瓜碧玉香午睡觉来桐影转无人可共北窗凉,Implicit Negative,sorrow,悲伤哀痛,0.10384909807107472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10384909807107472,0.0,0.0
范成大,发合江数里寄杨商卿诸公,宋,临分满意说离愁|草草无言祇泪流|船尾竹林遮县市|故人犹自立沙头,临分满意说离愁草草无言祇泪流船尾竹林遮县市故人犹自立沙头,Implicit Negative,vexed,烦恼苦闷,0.23166930530227667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11350001355835748,0.0,0.0,0.0,0.08453283499486222,0.20769819614214943,0.23166930530227667,0.0
张籍,赠李司议,唐,汉庭谁问投荒客|十载天南着白衣|秋草茫茫恶溪路|岭头遥送北人稀,汉庭谁问投荒客十载天南着白衣秋草茫茫恶溪路岭头遥送北人稀,Implicit Negative,sorrow,悲伤哀痛,0.10384909807107472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10384909807107472,0.0,0.0
曾巩,席上,宋,市井萧条烟火微|两衙散后雪深时|若无一曲传金盏|争奈衰翁两鬓丝,市井萧条烟火微两衙散后雪深时若无一曲传金盏争奈衰翁两鬓丝,Implicit Negative,sorrow,悲伤哀痛,0.10384909807107472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10384909807107472,0.0,0.0
夏竦,皇后阁端午帖子,宋,中闺正肃鸣环节|吉日爰逢采术时|亿载繁禧同圣寿|百男鸿庆茂仙枝,中闺正肃鸣环节吉日爰逢采术时亿载繁禧同圣寿百男鸿庆茂仙枝,Positive,joy,欢乐喜悦,0.10994572281936191,0.0,0.0,0.0,0.0,0.0,0.0,0.10994572281936191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
杜牧,紫薇花,唐,晓迎秋露一枝新|不占园中最上春|桃李无言又何在|向风偏笑艳阳人,晓迎秋露一枝新不占园中最上春桃李无言又何在向风偏笑艳阳人,Implicit Positive,praise,称颂赞美,0.16906566998972444,0.0,0.0,0.0,0.0,0.0,0.0,0.10994572281936191,0.0,0.0,0.0,0.0,0.16906566998972444,0.0,0.0,0.0
张说,奉和圣制幸韦嗣立山庄应制,唐,西京上相出扶阳|东郊别业好池塘|自非仁智符天赏|安能日月共回光,西京上相出扶阳东郊别业好池塘自非仁智符天赏安能日月共回光,Implicit Positive,praise,称颂赞美,0.08453283499486222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08453283499486222,0.0,0.0,0.0
连横,啼鴃,近现代,芷绿兰红亦可悲|一声啼鴃怨芳时|江干寂寞春馨歇|独向空山读楚词,芷绿兰红亦可悲一声啼鴃怨芳时江干寂寞春馨歇独向空山读楚词,Implicit Negative,sorrow,悲伤哀痛,0.31154729421322414,0.0,0.08885849940067135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31154729421322414,0.0,0.0
司空图,春中,唐,伏溜侵阶润|繁花隔竹香|娇莺方晓听|无事过南塘,伏溜侵阶润繁花隔竹香娇莺方晓听无事过南塘,Implicit Positive,like,喜爱欣赏,0.11350001355835748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11350001355835748,0.0,0.0,0.0,0.0,0.0,0.0,0.0
方回,偶书二首,宋,一昨悬车后|蹉跎又五年|常书乞米帖|犹费买花钱,一昨悬车后蹉跎又五年常书乞米帖犹费买花钱,Implicit Negative,criticize,批判指责,0.08885849940067135,0.0,0.08885849940067135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
王庭珪,段廷瑞四美堂,宋,风月江山何处无|良辰乐事古难俱|其间景物从来美|此美天然画不如,风月江山何处无良辰乐事古难俱其间景物从来美此美天然画不如,Implicit Positive,praise,称颂赞美,0.2535985049845867,0.0,0.08885849940067135,0.0,0.13347832467375914,0.0,0.0,0.21989144563872381,0.0,0.0,0.0,0.0,0.2535985049845867,0.0,0.0,0.0
杨万里,晓行闻竹鸡二首,宋,一番行路一番愁|还自儿时到白头|路不唤君君自去|为谁著急不归休,一番行路一番愁还自儿时到白头路不唤君君自去为谁著急不归休,Implicit Negative,vexed,烦恼苦闷,0.11583465265113833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11583465265113833,0.0
杨万里,蜡梅四首,宋,江梅珍重雪衣裳|薄相红梅学杏装|渠独小参黄面老|额间艳艳发金光,江梅珍重雪衣裳薄相红梅学杏装渠独小参黄面老额间艳艳发金光,Implicit Positive,wish,渴望期盼,0.14217828215101067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14217828215101067
赵佶,金林檎游春莺,宋,佳名何拔萃|美誉占游春|三月来禽媚|嬉娱异众伦,佳名何拔萃美誉占游春三月来禽媚嬉娱异众伦,Implicit Positive,praise,称颂赞美,0.16906566998972444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16906566998972444,0.0,0.0,0.0
王彦泓,不寐,明,恶抱千端集夜深|同眠人已睡沉沉|梦中惊问腮边冷|却是愁人泪湿衾,恶抱千端集夜深同眠人已睡沉沉梦中惊问腮边冷却是愁人泪湿衾,Implicit Negative,vexed,烦恼苦闷,0.11583465265113833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10384909807107472,0.11583465265113833,0.0
欧阳修,送杨先辈登第还家,宋,解榻方欣待儁英|挂帆千里忽南征|锦衣白日还家乐|鹤发高堂献寿荣,解榻方欣待儁英挂帆千里忽南征锦衣白日还家乐鹤发高堂献寿荣,Positive,joy,欢乐喜悦,0.10994572281936191,0.0,0.0,0.0,0.0,0.0,0.0,0.10994572281936191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
杨万里,垂丝海棠半落,宋,雨后精神退九分|病香愁态不胜春|落阶一寸轻红雪|卷地风来政恼人,雨后精神退九分病香愁态不胜春落阶一寸轻红雪卷地风来政恼人,Implicit Negative,vexed,烦恼苦闷,0.23166930530227667,0.0,0.0,0.0,0.0,0.0,0.0,0.21989144563872381,0.0,0.0,0.0,0.0,0.0,0.0,0.23166930530227667,0.0
范成大,四时田园杂兴六十首,宋,垂成穑事苦艰难|忌雨嫌风更怯寒|笺诉天公休掠剩|半偿私债半输官,垂成穑事苦艰难忌雨嫌风更怯寒笺诉天公休掠剩半偿私债半输官,Implicit Negative,vexed,烦恼苦闷,0.11583465265113833,0.0,0.08885849940067135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08453283499486222,0.0,0.11583465265113833,0.0
王维,叹白发,唐,宿昔朱颜成暮齿|须臾白发变垂髫|一生几许伤心事|不向空门何处销,宿昔朱颜成暮齿须臾白发变垂髫一生几许伤心事不向空门何处销,Implicit Negative,guilt,愧疚自责,0.17458343004804494,0.0,0.0,0.0,0.0,0.0,0.17458343004804494,0.0,0.0,0.0,0.0,0.0,0.0,0.10384909807107472,0.0,0.0
廖刚,丙申春贴子八首,宋,碧波楼下银塘晚|丽日亭前瑶草新|和气满城催燕乐|风流太守最宜春,碧波楼下银塘晚丽日亭前瑶草新和气满城催燕乐风流太守最宜春,Positive,ease,平和安适,0.13145215979284927,0.0,0.0,0.13145215979284927,0.0,0.0,0.0,0.10994572281936191,0.11350001355835748,0.0,0.0,0.0,0.08453283499486222,0.0,0.0,0.0
晁逈,诗一首,宋,宜城徵美酝|汉水得佳鲂|登岘思前哲|游池醉夕阳,宜城徵美酝汉水得佳鲂登岘思前哲游池醉夕阳,Implicit Positive,praise,称颂赞美,0.08453283499486222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08453283499486222,0.0,0.0,0.0
陈与义,西省酴醾架上残雪可爱戏同王元忠席大光赋诗,宋,酴醾花底当年事|夜雪模糊照酒阑|北省今朝枝上雪|还揩病眼作花看,酴醾花底当年事夜雪模糊照酒阑北省今朝枝上雪还揩病眼作花看,Implicit Negative,criticize,批判指责,0.08885849940067135,0.0,0.08885849940067135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
方岳,独立,宋,从来人说天难做|才怨春阴又怨晴|昨夜雷驱三尺水|更愁桥断不通行,从来人说天难做才怨春阴又怨晴昨夜雷驱三尺水更愁桥断不通行,Implicit Negative,criticize,批判指责,0.1777169988013427,0.0,0.1777169988013427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11583465265113833,0.0
李梦阳,七夕,明,云寂露凉丛蕙悲|意衔情恨隔年期|残机夜歇金萤度|怨女啼春玉箸垂,云寂露凉丛蕙悲意衔情恨隔年期残机夜歇金萤度怨女啼春玉箸垂,Implicit Negative,sorrow,悲伤哀痛,0.10384909807107472,0.0,0.08885849940067135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10384909807107472,0.0,0.0
李乂,奉和三日祓禊渭滨,唐,上林花鸟暮春时|上巳陪游乐在兹|此日欣逢临渭赏|昔年空道济汾词,上林花鸟暮春时上巳陪游乐在兹此日欣逢临渭赏昔年空道济汾词,Positive,joy,欢乐喜悦,0.21989144563872381,0.0,0.0,0.0,0.0,0.0,0.0,0.21989144563872381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
王安石,州桥,宋,州桥蹋月想山椒|回首哀湍未觉遥|今夜重闻旧呜咽|却看山月话州桥,州桥蹋月想山椒回首哀湍未觉遥今夜重闻旧呜咽却看山月话州桥,Implicit Negative,sorrow,悲伤哀痛,0.20769819614214943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15561139140249397,0.0,0.0,0.20769819614214943,0.0,0.0
陆游,晓雨二首,宋,东风吹雨送残春|冉冉年光次第新|君看枝头如许绿|争教桃李不成尘,东风吹雨送残春冉冉年光次第新君看枝头如许绿争教桃李不成尘,Positive,praise,称颂赞美,0.2535985049845867,0.0,0.08885849940067135,0.13145215979284927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2535985049845867,0.10384909807107472,0.0,0.0
陆游,追感往事五首,宋,文章光焰伏不起|甚者自谓宗晚唐|欧曾不生二苏死|我欲痛哭天茫茫,文章光焰伏不起甚者自谓宗晚唐欧曾不生二苏死我欲痛哭天茫茫,Implicit Negative,sorrow,悲伤哀痛,0.41539639228429887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41539639228429887,0.0,0.0
道会,别三辅诸僧,唐,去住俱为客|分悲损性情|共作无期别|谁能访死生,去住俱为客分悲损性情共作无期别谁能访死生,Implicit Negative,sorrow,悲伤哀痛,0.10384909807107472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10384909807107472,0.0,0.0
文天祥,第一百八十三,宋,名贤慎出处|志士怀感伤|犹残数行泪|引古惜兴亡,名贤慎出处志士怀感伤犹残数行泪引古惜兴亡,Implicit Negative,sorrow,悲伤哀痛,0.10384909807107472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08453283499486222,0.10384909807107472,0.0,0.0
姜桂,题画,淸,暖风晴日值良辰|窗外梅花数点新|更想林泉清淑致|山光树色写初春,暖风晴日值良辰窗外梅花数点新更想林泉清淑致山光树色写初春,Implicit Positive,praise,称颂赞美,0.08453283499486222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08453283499486222,0.0,0.0,0.0
李曾伯,和傅山父小园十咏,宋,宜琴宜弈尤宜酒|种竹种梅仍种莲|意得无时不堪适|可人不只是荷天,宜琴宜弈尤宜酒种竹种梅仍种莲意得无时不堪适可人不只是荷天,Implicit Positive,like,喜爱欣赏,0.11350001355835748,0.0,0.08885849940067135,0.0,0.0,0.0,0.0,0.0,0.11350001355835748,0.0,0.0,0.0,0.0,0.0,0.0,0.0
晏殊,中书即事,宋,惨惨高槐落|凄凄馀菊寒|粉墙多记墨|聊为拂尘看,惨惨高槐落凄凄馀菊寒粉墙多记墨聊为拂尘看,Implicit Negative,sorrow,悲伤哀痛,0.20769819614214943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20769819614214943,0.0,0.0
陈吾德,隆之生女赋赠二首,明,昨夜欢声满玉堂|争言宝婺下祥光|卢家祇谓添丁喜|未识传书是女郎,昨夜欢声满玉堂争言宝婺下祥光卢家祇谓添丁喜未识传书是女郎,Positive,joy,欢乐喜悦,0.32983716845808575,0.0,0.0,0.0,0.0,0.0,0.0,0.32983716845808575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
白玉蟾,春宵有感,宋,憎却堤边柳|青丝复尔长|自怜愁里鬓|不觉暗中霜,憎却堤边柳青丝复尔长自怜愁里鬓不觉暗中霜,Implicit Negative,criticize,批判指责,0.1777169988013427,0.0,0.1777169988013427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10384909807107472,0.11583465265113833,0.0
陈师道,对厅口号,宋,黄堂窈窕庆佳辰|密坐雍容合搢绅|广乐充庭如在梦|欢声著物似逢春,黄堂窈窕庆佳辰密坐雍容合搢绅广乐充庭如在梦欢声著物似逢春,Positive,joy,欢乐喜悦,0.32983716845808575,0.0,0.0,0.0,0.0,0.0,0.0,0.32983716845808575,0.0,0.0,0.0,0.0,0.16906566998972444,0.0,0.0,0.0
洪存恕,田家词（七首）,近现代,田夫田妇尽为佣|以藿充肠粳固丰|忆得往年秋获半|犹忧谷贱大伤农,田夫田妇尽为佣以藿充肠粳固丰忆得往年秋获半犹忧谷贱大伤农,Implicit Negative,sorrow,悲伤哀痛,0.10384909807107472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10384909807107472,0.0,0.0
李涉,听歌,唐,飒飒先飞梁上尘|朱唇不动翠眉颦|愿得春风吹更远|直教愁杀满城人,飒飒先飞梁上尘朱唇不动翠眉颦愿得春风吹更远直教愁杀满城人,Implicit Negative,vexed,烦恼苦闷,0.11583465265113833,0.0,0.0,0.0,0.0,0.0,0.0,0.10994572281936191,0.0,0.0,0.0,0.0,0.0,0.10384909807107472,0.11583465265113833,0.0
张耒,元忠学士八兄耒离京师远蒙追送许惠服丹法托故竟未惠及赋五绝句,宋,身逐孤舟似断云|故人追送尚殷勤|秋城夜泊西风岸|落叶悲虫独自闻,身逐孤舟似断云故人追送尚殷勤秋城夜泊西风岸落叶悲虫独自闻,Negative,sorrow,悲伤哀痛,0.10384909807107472,0.0,0.08885849940067135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08453283499486222,0.10384909807107472,0.0,0.0
王慎中,苕溪舟上怀蔡可泉,明,岸花夹水备芳鲜|愁思看时倍惨然|几欲将愁寄流水|苕溪又不到桐川,岸花夹水备芳鲜愁思看时倍惨然几欲将愁寄流水苕溪又不到桐川,Implicit Negative,vexed,烦恼苦闷,0.347503957953415,0.0,0.08885849940067135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08453283499486222,0.10384909807107472,0.347503957953415,0.0
令狐楚,游（一作望）春词,唐,高楼晓见一花开|便觉春光四面来|暖日晴云知次第|东风不用更相催,高楼晓见一花开便觉春光四面来暖日晴云知次第东风不用更相催,Implicit Positive,like,喜爱欣赏,0.11350001355835748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11350001355835748,0.0,0.0,0.0,0.08453283499486222,0.0,0.0,0.0
寇准,忆洛阳,宋,金谷春来柳自黄|晓烟晴日映宫墙|不堪花下听歌处|却向长安忆洛阳,金谷春来柳自黄晓烟晴日映宫墙不堪花下听歌处却向长安忆洛阳,Implicit Negative,criticize,批判指责,0.08885849940067135,0.0,0.08885849940067135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
徐钧,嫪毐,宋,诈腐为阉几十春|朝欢暮狎宠无伦|休分长信幷文信|假父如今又象真,诈腐为阉几十春朝欢暮狎宠无伦休分长信幷文信假父如今又象真,Neutral,miss,思念怀念,0.15561139140249397,0.0,0.0,0.0,0.0,0.0,0.0,0.10994572281936191,0.0,0.0,0.15561139140249397,0.0,0.0,0.0,0.0,0.0
元好问,春归,元,野杏溪桃三两枝|春归也作送春诗|东君自爱长安好|能住山城得几时,野杏溪桃三两枝春归也作送春诗东君自爱长安好能住山城得几时,Implicit Positive,like,喜爱欣赏,0.11350001355835748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11350001355835748,0.0,0.0,0.0,0.0,0.0,0.0,0.0
王安石,句容道中,宋,荒烟寒雨暮山重|草木冥冥但有风|二十四年三往返|一身多在百忧中,荒烟寒雨暮山重草木冥冥但有风二十四年三往返一身多在百忧中,Implicit Negative,sorrow,悲伤哀痛,0.10384909807107472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10384909807107472,0.0,0.0
李九龄,夜与张舒话别,唐,愁听南楼角又吹|晓鸡啼后更分离|如何销得凄凉思|更劝灯前酒一卮,愁听南楼角又吹晓鸡啼后更分离如何销得凄凉思更劝灯前酒一卮,Implicit Negative,sorrow,悲伤哀痛,0.20769819614214943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08453283499486222,0.20769819614214943,0.11583465265113833,0.0
王洋,投宿震泽僧难之翌日戏成以解,宋,老将病骨犯烟波|厌听蓬窗雨作魔|一枕僧房得安梦|受恩真是不须多,老将病骨犯烟波厌听蓬窗雨作魔一枕僧房得安梦受恩真是不须多,Implicit Positive,praise,称颂赞美,0.08453283499486222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08453283499486222,0.0,0.0,0.0
梁储,附送徐公子挥使东归四首,明,祠堂坟墓遣君归|此意傍人恐未知|料得义田经始日|是君行李再来时,祠堂坟墓遣君归此意傍人恐未知料得义田经始日是君行李再来时,Implicit Negative,sorrow,悲伤哀痛,0.10384909807107472,0.0,0.08885849940067135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10384909807107472,0.0,0.0
刘克庄,西风二首,宋,性爱芙蓉淡复秾|倚栏日日待西风|池边数本无消息|愁绝东家半树红,性爱芙蓉淡复秾倚栏日日待西风池边数本无消息愁绝东家半树红,Implicit Negative,vexed,烦恼苦闷,0.11583465265113833,0.0,0.08885849940067135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11583465265113833,0.0
