poet,title,dynasty,text,polarity,split
魏了翁,丙申携客自康王观东北行十里观谷帘泉,宋,正喜昔闻今见之泉称第一更何疑此心好乐先为主但见忠谋皆我欺,Implicit Positive,train
费墨娟,病后得句,淸,晓对菱花镜容光瘦几多生来原弱质小病不胜磨,Implicit Negative,train
宋祁,古意,宋,肆威矜逐逐索党恣狺狺盗跖真知道馀财欲污人,Neutral,test
叶颙,题卞和泣玉圗手巻二首,元,忍把连城价放低临刑刖足未心灰丈夫自古惭轻献女子从来耻自媒,Neutral,train
方岳,独立,宋,从来人说天难做才怨春阴又怨晴昨夜雷驱三尺水更愁桥断不通行,Implicit Negative,test
张耒,寒食离白沙,宋,花枝袅袅水溶溶杨柳轻明二月风景物可怜人寂寞年年寒食醉眠中,Implicit Negative,train
刘季孙,诗三首,宋,从来英杰自消磨好笑人间事更多艮上巽宫为进发千车安稳渡银河,Implicit Negative,train
李梦阳,七夕,明,云寂露凉丛蕙悲意衔情恨隔年期残机夜歇金萤度怨女啼春玉箸垂,Implicit Negative,train
白玉蟾,蟋蟀,宋,秋暮何聊饮不多素空皓月舞傞傞也知落叶风前拍似应寒蛩砌下歌,Implicit Negative,train
张耒,寒食离白沙,宋,莫惊客路已经年尚有青春一半妍试上芳堤望春野万丝杨柳拂晴天,Implicit Positive,train
司马光,药轩,宋,雨馀条甲绕阶生往往桐君昔未名采贮不须勤暴篲秋阳日日满檐楹,Neutral,train
陈琏,郡庠祭丁,明,辉辉星斗露华凉济济衣冠祀素王六佾舞行分左右大晟乐韵协宫商,Neutral,train
张耒,残春三绝,宋,低檐送雨晚霏微湿透梅房白渐肥半捲画帘屏扇掩朦胧春睡拥春衣,Neutral,train
庞嵩,望德安,明,残冬仲月趋郧楚隔岁初春望吉山树杪淡云欣着目溪边明月笑开颜,Neutral,train
李乂,奉和三日祓禊渭滨,唐,上林花鸟暮春时上巳陪游乐在兹此日欣逢临渭赏昔年空道济汾词,Positive,train
王安石,州桥,宋,州桥蹋月想山椒回首哀湍未觉遥今夜重闻旧呜咽却看山月话州桥,Implicit Negative,train
杨万里,咏荷花中小莲蓬,宋,山蜂愁雨损蜂儿叶底安巢更倒垂只有荷蜂不愁雨蜡房仰卧万花枝,Implicit Positive,test
陆游,晓雨二首,宋,东风吹雨送残春冉冉年光次第新君看枝头如许绿争教桃李不成尘,Positive,train
杨万里,跋虞丞相与赵撙节使帖还其犹子济二首,宋,虞丞相与赵将军同策江淮第一勋大羽进贤今寂寞凌烟颂里感风云,Neutral,train
陆游,追感往事五首,宋,文章光焰伏不起甚者自谓宗晚唐欧曾不生二苏死我欲痛哭天茫茫,Implicit Negative,train
李商隐,浑河中,唐,九庙无尘八马回奉天城垒长春苔咸阳原上英雄骨半向君家养马来,Neutral,train
赵孟坚,梦回,宋,点点桃花短短墙雨声彻夜响回廊觉来蝴蝶家山梦一半分明一半忘,Implicit Negative,train
杨万里,晓寒二首,宋,春光唤入百花丛寒力平欺两鬓蓬吹乱众红还复整海棠却不怕东风,Neutral,train
陆游,天台院有小阁下临官道予为名曰玉霄,宋,竹舆冲雨到天台緑树阴中小阁开牓作玉霄君会否要知散吏按行来,Neutral,train
耶律铸,又美人二首,元,倾危花界总花神谁计还丹与反真难说玉皇惆怅事分明羞杀月中人,Neutral,train
道会,别三辅诸僧,唐,去住俱为客分悲损性情共作无期别谁能访死生,Implicit Negative,train
寇准,无题,宋,金甲珠襦锁绣扃杜城残月葬娥英春风候馆花如雪空有莺传度曲声,Implicit Negative,train
权德舆,冬至宿斋时郡君南内朝谒因寄,唐,清斋独向丘园拜盛服想君兴庆朝明日一阳生百福不辞相望阻寒宵,Implicit Positive,train
文天祥,第一百八十三,宋,名贤慎出处志士怀感伤犹残数行泪引古惜兴亡,Implicit Negative,train
范成大,晚思,宋,藓墙莎砌响幽虫睡起翻书觉梦中残暑一窗风不动秋阳入竹碎青红,Neutral,train
王守仁,答人问良知二首,明,良知即是独知时此知之外更无知谁人不有良知在知得良知却是谁,Neutral,train
王维,山茱萸,唐,朱实山下开清香寒更发幸与丛桂花窗前向秋月,Neutral,train
刘克庄,三月二十五日饮方校书园十绝,宋,才入中年会面难安知白首此团栾不妨时驾柴车出只作初骑竹马看,Implicit Negative,train
姜桂,题画,淸,暖风晴日值良辰窗外梅花数点新更想林泉清淑致山光树色写初春,Implicit Positive,train
郑谷,静吟,唐,骚雅荒凉我未安月和馀雪夜吟寒相门相客应相笑得句胜于得好官,Implicit Positive,train
苏辙,舟过严陵滩将谒祠登台舟人夜解及明已远至桐庐望桐君山寺缥缈可爱遂以小舟游之二绝,宋,严公钓濑不容看犹喜桐君有故山多病未须寻药录从今学取衲僧閒,Implicit Positive,train
王安石,题定林壁怀李叔时,宋,云与渊明出风随禦寇还燎炉无伏火蕙帐冷空山,Implicit Negative,train
苏轼,忆黄州梅花五绝,宋,不用相催已白头一生判却见花羞扬州何逊吟情苦不枉清香与破愁,Implicit Negative,test
张孝祥,次江州王知府叔坚韵,宋,庐山突兀上霄汉使君豪气与相酬庐山虽好不足恋归矣当为苍生谋,Neutral,test
李曾伯,和傅山父小园十咏,宋,宜琴宜弈尤宜酒种竹种梅仍种莲意得无时不堪适可人不只是荷天,Implicit Positive,train
谢榛,送钟季烈奔丧豫章,明,郎官才转汉西曹白舫归心日夜劳啼杀樯乌孤月惨九江寒色起风涛,Implicit Negative,train
晏殊,中书即事,宋,惨惨高槐落凄凄馀菊寒粉墙多记墨聊为拂尘看,Implicit Negative,train
陆游,秋暑夜起追凉二首,宋,漱罢寒泉弄月明浩然风露欲三更曲阑干畔踟躇久静听空廊络纬声,Implicit Negative,train
王恭,钱舜举羽毛,明,娇鸟双飞恋浅红乐游原上晓嘶骢别来已少看花伴空对芳菲落画中,Implicit Negative,train
米芾,杂咏三首,宋,侠少场中酒作雠不胜杯勺鬓今秋道言禅语须蔬食作意丹阳十日留,Neutral,train
范成大,墙外卖药者九年无一日不过吟唱之声甚适雪中呼问之家有十口一日不出即饥寒矣,宋,十口啼号责望深宁容安稳坐毡针长鸣大咤欺风雪不是甘心是苦心,Implicit Negative,train
朱淑真,李花二首,宋,小小琼英舒嫩白未饶深紫与轻红无言路侧谁知味惟有寻芳蝶与蜂,Implicit Positive,train
李商隐,华师,唐,孤鹤不睡云无心衲衣筇杖来西林院门昼锁回廊静秋日当阶柿叶阴,Neutral,train
梅尧臣,走笔送王琪,宋,江南二月草青青送子归时已满汀谁信而今有忠义祇知七日哭秦庭,Implicit Negative,train
黄庭坚,行迈杂篇六首,宋,白白红红相间开三三五五踏青来戏随胡蝶不知远惊见行人笑却回,Implicit Positive,train
曾巩,离齐州后五首,宋,云帆十幅顺风行卧听随船白浪声好在西湖波上月酒醒还到纸窗明,Neutral,train
张籍,闲游,唐,终日不离尘土间若为能见此身闲今朝暂共游僧语更恨趋时别旧山,Implicit Negative,train
赵孟頫,题舜举折枝桃,元,醉里春归寻不得眼明忽见折枝花向来飞盖西园夜万烛高烧照烂霞,Implicit Positive,test
陈吾德,隆之生女赋赠二首,明,昨夜欢声满玉堂争言宝婺下祥光卢家祇谓添丁喜未识传书是女郎,Positive,train
司马光,野轩,宋,黄鸡白酒田间乐藜杖葛巾林下风更若食芹仍暴背野怀并在一轩中,Neutral,test
杨万里,自金陵西归至豫章发南浦亭宿黄家渡,宋,过了重湖雪浪堆章江欲尽淦江来到家无此江山景画舫行迟不用催,Neutral,train
王安石,又次叶致远韵二首,宋,庵成有兴亦寻春风暖荒莱步始匀若遇好花须一笑岂妨迦叶杜多身,Implicit Positive,test
白玉蟾,行春辞,宋,一斗百篇诚有之无人知我只春知吟逢蝴蝶即庄子醉见海棠真贵妃,Neutral,train
刘克庄,中𡼢春祀二首,宋,归鞍常苦夕阳催小憩聊分饮胙杯万一得年如小父尚堪十度扫松来,Neutral,train
黄裳,暑中偶怀江上舟行,宋,乐缘仁智两相宜好是斜阳未可归倒影沉沉长自在谩怀今古叹人非,Implicit Negative,train
白玉蟾,春宵有感,宋,憎却堤边柳青丝复尔长自怜愁里鬓不觉暗中霜,Implicit Negative,train
白玉蟾,双溪馆,宋,两点文章翰墨星夜翱双鹤入青冥楼前为忆张华剑八百年来无血腥,Implicit Negative,train
范成大,四时田园杂兴六十首,宋,朱门巧夕沸欢声田舍黄昏静掩扃男解牵牛女能织不须徼福渡河星,Implicit Positive,test
贺知章,回乡偶书二首·其一,唐,少小离家老大回乡音无改鬓毛衰儿童相见不相识笑问客从何处来,Implicit Negative,test
陈师道,对厅口号,宋,黄堂窈窕庆佳辰密坐雍容合搢绅广乐充庭如在梦欢声著物似逢春,Positive,train
王建,长门烛,唐,秋夜床前蜡烛微铜壶滴尽晓钟迟残光欲灭还吹著年少宫人未睡时,Implicit Negative,train
洪存恕,田家词（七首）,近现代,田夫田妇尽为佣以藿充肠粳固丰忆得往年秋获半犹忧谷贱大伤农,Implicit Negative,train
李涉,听歌,唐,飒飒先飞梁上尘朱唇不动翠眉颦愿得春风吹更远直教愁杀满城人,Implicit Negative,train
陆游,夏日杂题六首,宋,午梦初回理旧琴竹炉重炷海南沉茅檐三日萧萧雨又展芭蕉数尺阴,Neutral,test
刘克庄,赠梅岩王相士二绝,宋,和靖诗高千古瘦逃禅画妙一生贫劝君别换新标榜莫靠梅花赚杀人,Neutral,test
张耒,元忠学士八兄耒离京师远蒙追送许惠服丹法托故竟未惠及赋五绝句,宋,身逐孤舟似断云故人追送尚殷勤秋城夜泊西风岸落叶悲虫独自闻,Negative,train
王慎中,苕溪舟上怀蔡可泉,明,岸花夹水备芳鲜愁思看时倍惨然几欲将愁寄流水苕溪又不到桐川,Implicit Negative,train
刘克庄,端午五言三首,宋,绮纨贵家子旗鼓少年场屡舞众人醉鲜妆一国狂,Neutral,train
令狐楚,游（一作望）春词,唐,高楼晓见一花开便觉春光四面来暖日晴云知次第东风不用更相催,Implicit Positive,test
白居易,春老,唐,欲随年少强游春自觉风光不属身歌舞屏风花障上几时曾画白头人,Implicit Negative,train
杨万里,岸树二首,宋,岸头树子直如筠谁遣相招住水滨不合镜中贪照影照来照去总斜身,Neutral,train
杨万里,雪中看梅,宋,犯雪寻梅雪满衣池边梅映竹边池要寻疎影横斜底拣尽南枝与北枝,Neutral,test
寇准,忆洛阳,宋,金谷春来柳自黄晓烟晴日映宫墙不堪花下听歌处却向长安忆洛阳,Implicit Negative,train
杨万里,过莺斗湖三首,宋,画舫如山水上奔小船似鸭避河滨红旗青盖鸣钲处都是迎来送往人,Neutral,train
徐钧,嫪毐,宋,诈腐为阉几十春朝欢暮狎宠无伦休分长信幷文信假父如今又象真,Neutral,train
李之仪,偶题六绝,宋,行人犹未有归期万里初程日暮时唯爱门前双柳树枝枝叶叶不相离,Implicit Positive,train
元好问,春归,元,野杏溪桃三两枝春归也作送春诗东君自爱长安好能住山城得几时,Implicit Positive,train
范成大,方竹杖,宋,竹君个个面团团此士刚方独凛然外貌中心俱壁立任从痴子削教圆,Neutral,train
王安石,句容道中,宋,荒烟寒雨暮山重草木冥冥但有风二十四年三往返一身多在百忧中,Implicit Negative,train
李九龄,夜与张舒话别,唐,愁听南楼角又吹晓鸡啼后更分离如何销得凄凉思更劝灯前酒一卮,Implicit Negative,train
王洋,投宿震泽僧难之翌日戏成以解,宋,老将病骨犯烟波厌听蓬窗雨作魔一枕僧房得安梦受恩真是不须多,Implicit Positive,train
夏竦,淑妃阁端午帖子,宋,蕤宾布序逢良月条达延祥记令辰仰奉椒涂宣内治永昭芳誉冠虞嫔,Implicit Positive,train
周必大,次韵李得善学录需酒纳妇,宋,合好须凭曲米春分甘那暇问醨醇遥知北海招嘉客共贺东床得好姻,Implicit Positive,train
梁储,附送徐公子挥使东归四首,明,祠堂坟墓遣君归此意傍人恐未知料得义田经始日是君行李再来时,Implicit Negative,train
屈大均,哭稚女雁,明,葬汝先人墓道西白杨多处作幽闺若知汝父长相忆莫向黄泉汝母啼,Implicit Negative,train
李清照,春残,宋,春残何事苦思乡病里梳头恨最长梁燕语多终日在蔷薇风细一帘香,Negative,test
陆游,醉中信笔作四绝句既成惧观者不知野人本心也复作一绝,宋,麦野桑村有酒徒过门相觅醉相扶朱门日日教歌舞也有侬家此乐无,Implicit Positive,train
刘克庄,西风二首,宋,性爱芙蓉淡复秾倚栏日日待西风池边数本无消息愁绝东家半树红,Implicit Negative,train
陈与义,和颜持约,宋,半篙寒碧秋垂钓一笛西风夜倚楼多少巫山旧家事老来分付水东流,Implicit Negative,train
王安石,载酒,宋,载酒欲寻江上舟出门无路水交流黄昏独倚春风立看却花开触地愁,Implicit Negative,train
黄庭坚,病起荆江亭即事十首,宋,闭门觅句陈无己对客挥毫秦少游正字不知温饱未西风吹泪古藤州,Implicit Negative,train
陈宓,清水岩祷晴,宋,檐声喧耳历三旬云气低低过一春今日举头逢皎日也知天道总由人,Neutral,train
李商隐,戏题赠稷山驿吏王全,唐,绛台驿吏老风尘耽酒成仙几十春过客不劳询甲子惟书亥字与时人,Neutral,train
杨万里,寒食相将诸子游翟园得十诗,宋,尽忙也到翟园休只见春光不见愁屈折海棠团更密日光下照绣灯毬,Implicit Positive,train
黄庭坚,戏题戎州作余真,宋,前身寒山子后身黄鲁直颇遭俗人恼思欲入石壁,Neutral,train
白居易,谕亲友,唐,适情处处皆安乐大抵园林胜市朝烦闹荣华犹易过优闲福禄更难销,Neutral,test
