title,poet,dynasty,full_text,true_5class,true_5desc,true_3class,pred_3class,correct,is_implicit
感兴六首,贺铸,宋,雏雀学翻飞不知毛羽微青鵳笑高树待尔饱朝饥,3,neutral（中性）,neutral,positive,False,False
南台,陈师道,宋,城郭收灯兴未休却回春信到台头东风未借登临便柳色遥看特地愁,2,implicit negative（隐性负面）,negative,positive,False,True
吊陈叔宝词,范成大,宋,赏心亭上再来游烟月迷人独自愁行到江边无去路却随潮水过扬州,2,implicit negative（隐性负面）,negative,positive,False,True
病足昼卧梦中譫谆乃诵尚书也既觉口占绝句二首,陆游,宋,人能不食十二日惟书安可一日无唐虞虽远典谟在病卧蓬窗时嗫嚅,2,implicit negative（隐性负面）,negative,positive,False,True
戏寇君二首,陈师道,宋,杜老秋来眼更寒蹇馿无复逐金鞍南邻却有新歌舞借与诗人一面看,2,implicit negative（隐性负面）,negative,neutral,False,True
汉党锢,金朋说,宋,坑士焚书已促秦前途覆辙又因循范滂一命何须惜可叹颠危汉室倾,2,implicit negative（隐性负面）,negative,negative,True,True
睡觉,陆游,宋,白日悠悠喜意平梦中历历觉魂清觉时不落晨鸡后静待天窗一点明,3,neutral（中性）,neutral,positive,False,False
赠某弁新婚,屈大均,明,此日佳人宜换马而君偏惹丽华来燕裙赵带从军乐不念闺中长绿苔,4,implicit positive（隐性正面）,positive,positive,True,True
有怀,释行海,宋,燕无消息雁都回三叠阳关笛更哀可惜梅花逢夜雨一场春怨满苍苔,2,implicit negative（隐性负面）,negative,positive,False,True
竹里馆,王维,唐,独坐幽篁里弹琴复长啸深林人不知明月来相照,3,neutral（中性）,neutral,neutral,True,False
秦淮泛舟,王安石,宋,强扶衰病牵淮舸尚怯春风泝午潮花与新吾如有意山于何处不相招,2,implicit negative（隐性负面）,negative,positive,False,True
和王祭酒太社宿斋不得赴李尚书宅会戏书见寄,权德舆,唐,元礼门前劳引望句龙坛下阻欢娱此时对局空相忆博进何人更乐输,3,neutral（中性）,neutral,positive,False,False
遇雪,王安石,宋,定知花发是归期不奈归心日日归风雪岂知行客恨向人更作落花飞,2,implicit negative（隐性负面）,negative,neutral,False,True
画石二首,白玉蟾,宋,直作壶中九华看碧于簪玉小于拳好藏莫便令人见恐有痴情似米颠,4,implicit positive（隐性正面）,positive,positive,True,True
礼密庵禅师塔,释梵琮,宋,绵里裹刀难近傍饭中有药出闽乡至今怕饮山中水我昔曾遭蛊毒伤,3,neutral（中性）,neutral,negative,False,False
看镜二首,陆游,宋,七十衰翁卧故山镜中无复旧朱颜一联轻甲流尘积不为君王戍玉关,2,implicit negative（隐性负面）,negative,positive,False,True
仲钦寄民为重斋诗和答,张孝祥,宋,行边使者几时回寄我清风欲满怀已把十诗镌乐石为公满意落新斋,4,implicit positive（隐性正面）,positive,positive,True,True
四休居士诗三首,黄庭坚,宋,一病能恼安乐性四病长作一生愁借问四休何所好不令一点上眉头,3,neutral（中性）,neutral,positive,False,False
叠前,晁说之,宋,董生今日窥园圃几许伤心涕泪垂金令不行呈木怪无端灾异乐哀为,2,implicit negative（隐性负面）,negative,negative,True,True
老陈道人自云梦被召作地上主者又常受一贵家供祝之曰他日必来吾家作儿戏赠小颂,范成大,宋,野人何苦赴官差符使追呼挠道怀幸有于门香积供不如随喜去罗斋,3,neutral（中性）,neutral,neutral,True,False
北窗,陆游,宋,寒泉断藕素丝长纹簟开瓜碧玉香午睡觉来桐影转无人可共北窗凉,2,implicit negative（隐性负面）,negative,neutral,False,True
发合江数里寄杨商卿诸公,范成大,宋,临分满意说离愁草草无言祇泪流船尾竹林遮县市故人犹自立沙头,2,implicit negative（隐性负面）,negative,negative,True,True
赠李司议,张籍,唐,汉庭谁问投荒客十载天南着白衣秋草茫茫恶溪路岭头遥送北人稀,2,implicit negative（隐性负面）,negative,negative,True,True
席上,曾巩,宋,市井萧条烟火微两衙散后雪深时若无一曲传金盏争奈衰翁两鬓丝,2,implicit negative（隐性负面）,negative,neutral,False,True
皇后阁端午帖子,夏竦,宋,中闺正肃鸣环节吉日爰逢采术时亿载繁禧同圣寿百男鸿庆茂仙枝,5,positive（显性正面）,positive,positive,True,False
紫薇花,杜牧,唐,晓迎秋露一枝新不占园中最上春桃李无言又何在向风偏笑艳阳人,4,implicit positive（隐性正面）,positive,positive,True,True
闻王侍郎请老,宋祁,宋,未老辞荣上所褒官閒犹寄白云曹海边人乐鸥先下笼外天多鹤始高,4,implicit positive（隐性正面）,positive,positive,True,True
望淮口,王安石,宋,白烟瀰漫接天涯黯黯长空一道斜有似钱塘江上望晚潮初落见平沙,3,neutral（中性）,neutral,negative,False,False
偶书为山亭五首,叶梦得,宋,僚吏相哀白事稀抱琴时自弄清徽何妨共倒樽中渌不怕鸣驺问道归,3,neutral（中性）,neutral,negative,False,False
奉和圣制幸韦嗣立山庄应制,张说,唐,西京上相出扶阳东郊别业好池塘自非仁智符天赏安能日月共回光,4,implicit positive（隐性正面）,positive,positive,True,True
史天休中散挽词,黄庭坚,宋,光禄九男君独秀赋名几与景仁班淹留州县看恬默出入风波笑险艰,4,implicit positive（隐性正面）,positive,neutral,False,True
建安遣兴六首,陆游,宋,刺虎腾身万目前白袍溅血尚依然圣时未用徵辽将虚老龙门一少年,2,implicit negative（隐性负面）,negative,neutral,False,True
秋夜有感,朱淑真,宋,哭损双眸断尽肠怕黄昏后到昏黄更堪细雨新秋夜一点残灯伴夜长,1,negative（显性负面）,negative,negative,True,False
啼鴃,连横,近现代,芷绿兰红亦可悲一声啼鴃怨芳时江干寂寞春馨歇独向空山读楚词,2,implicit negative（隐性负面）,negative,negative,True,True
叹老,沈括,宋,为觅少年心不得当时感旧已潸然情怀此日君休问又老当时二十年,1,negative（显性负面）,negative,negative,True,False
春中,司空图,唐,伏溜侵阶润繁花隔竹香娇莺方晓听无事过南塘,4,implicit positive（隐性正面）,positive,positive,True,True
偶书二首,方回,宋,一昨悬车后蹉跎又五年常书乞米帖犹费买花钱,2,implicit negative（隐性负面）,negative,negative,True,True
陈景升顷遗余化度寺碑甚佳阙后三行归自龙溪始为余补足记以绝句,刘克庄,宋,端平曾叹阙三行淳祐重来为补亡收拾一碑劳十载此生凡事不须忙,2,implicit negative（隐性负面）,negative,positive,False,True
段廷瑞四美堂,王庭珪,宋,风月江山何处无良辰乐事古难俱其间景物从来美此美天然画不如,4,implicit positive（隐性正面）,positive,positive,True,True
晓行闻竹鸡二首,杨万里,宋,一番行路一番愁还自儿时到白头路不唤君君自去为谁著急不归休,2,implicit negative（隐性负面）,negative,positive,False,True
秋日古兰花十首,方回,宋,绿叶梢头紫粟攒离骚经里古秋兰时人误唤孩儿菊惟有诗翁解细看,3,neutral（中性）,neutral,neutral,True,False
蜡梅四首,杨万里,宋,江梅珍重雪衣裳薄相红梅学杏装渠独小参黄面老额间艳艳发金光,4,implicit positive（隐性正面）,positive,positive,True,True
甘棠,梅尧臣,宋,更衣入侍宫中贵韡韡芸黄殿后花斗色长宜日光近生辉尤喜盖阴斜,4,implicit positive（隐性正面）,positive,positive,True,True
和钱处和大资四首,曹勋,宋,迷云公已性天开双涧相逢若再来二老果能如洛下固宜慧远赋优哉,4,implicit positive（隐性正面）,positive,positive,True,True
金林檎游春莺,赵佶,宋,佳名何拔萃美誉占游春三月来禽媚嬉娱异众伦,4,implicit positive（隐性正面）,positive,positive,True,True
不寐,王彦泓,明,恶抱千端集夜深同眠人已睡沉沉梦中惊问腮边冷却是愁人泪湿衾,2,implicit negative（隐性负面）,negative,negative,True,True
答敖茂才,刘克庄,宋,太傅品胡儿樊川誉阿宜既为诸父赏焉用外人知,3,neutral（中性）,neutral,positive,False,False
闰九月晦日登舟二首,宋祁,宋,二山皆在眼未忍去淮津三宿宁无恋况非桑下人,3,neutral（中性）,neutral,positive,False,False
春灯曲,王邦畿,明,大花红纸榜迎禧庆赏还同十五时闻道上元能赐福也应先赐与穷儿,4,implicit positive（隐性正面）,positive,positive,True,True
漫兴,艾性夫,宋,冻耳萧萧天欲霜冬深门巷意苍凉一筇径为梅花出独立斜阳影正长,3,neutral（中性）,neutral,positive,False,False
送杨先辈登第还家,欧阳修,宋,解榻方欣待儁英挂帆千里忽南征锦衣白日还家乐鹤发高堂献寿荣,5,positive（显性正面）,positive,positive,True,False
代儿童作立春贴门诗三首,范成大,宋,绿野添花径青春引杖藜家人行乐处双劝玉东西,4,implicit positive（隐性正面）,positive,positive,True,True
庆侍郎,赵孟僖,宋,幸逢八秩庆生申搦管濡毫洒翰新十字顶头添个丿八千岁寿迈庄椿,5,positive（显性正面）,positive,positive,True,False
垂丝海棠半落,杨万里,宋,雨后精神退九分病香愁态不胜春落阶一寸轻红雪卷地风来政恼人,2,implicit negative（隐性负面）,negative,neutral,False,True
四时田园杂兴六十首,范成大,宋,垂成穑事苦艰难忌雨嫌风更怯寒笺诉天公休掠剩半偿私债半输官,2,implicit negative（隐性负面）,negative,negative,True,True
叹白发,王维,唐,宿昔朱颜成暮齿须臾白发变垂髫一生几许伤心事不向空门何处销,2,implicit negative（隐性负面）,negative,negative,True,True
宴坐庵四首,范成大,宋,五更风竹闹轩窗听作江船浪隠床枕上翻身寻断梦故人待漏满鞾霜,2,implicit negative（隐性负面）,negative,neutral,False,True
偶箴,范成大,宋,情知万法本来空犹复将心奉八风逆顺境来欣戚变咄哉谁是主人翁,3,neutral（中性）,neutral,positive,False,False
次韵谢公定王世弼赠答二绝句,黄庭坚,宋,酒因咀嚼还知味诗就呻吟不要工王谢风流看二妙病夫直欲卧墙东,3,neutral（中性）,neutral,positive,False,False
寓言二首,王安石,宋,太虚无实可追寻叶落松枝谩古今若见桃花生圣解不疑还自有疑心,3,neutral（中性）,neutral,negative,False,False
论诗三十首,元好问,元,东野穷愁死不休高天厚地一诗囚江山万古潮阳笔合在元龙百尺楼,3,neutral（中性）,neutral,negative,False,False
城南杂诗十二首,连横,近现代,才人不偶伤鶧鹉楚客高歌哭凤凰今日宁南门下过招魂一恸菜畦狂,1,negative（显性负面）,negative,positive,False,False
估客有自蔡州来者感怅弥日二首,陆游,宋,洮河马死剑锋摧緑发成丝每自哀几岁中原消息断喜闻人自蔡州来,4,implicit positive（隐性正面）,positive,neutral,False,True
丙申春贴子八首,廖刚,宋,碧波楼下银塘晚丽日亭前瑶草新和气满城催燕乐风流太守最宜春,5,positive（显性正面）,positive,positive,True,False
哭丘长史,张籍,唐,丘公已殁故人稀欲过街西更访谁每到子城东路上忆君相逐入朝时,2,implicit negative（隐性负面）,negative,positive,False,True
诗一首,晁逈,宋,宜城徵美酝汉水得佳鲂登岘思前哲游池醉夕阳,4,implicit positive（隐性正面）,positive,positive,True,True
深溪铺中二绝追路寄呈元将仲显二使君,范成大,宋,祗有南风捲路尘断无南客送车轮故人合在潇湘见却向潇湘别故人,2,implicit negative（隐性负面）,negative,positive,False,True
试笔柬赵德麟二绝,李之仪,宋,窗间多病委枯骸陌上初收雨后埃公子风流过京兆正堪眉妩傍妆台,3,neutral（中性）,neutral,positive,False,False
御阁端午帖子,夏竦,宋,赐羮佳事传青简续寿长丝献紫宸帝祉荐彰符盛德圣心勤恤为生民,5,positive（显性正面）,positive,positive,True,False
西省酴醾架上残雪可爱戏同王元忠席大光赋诗,陈与义,宋,酴醾花底当年事夜雪模糊照酒阑北省今朝枝上雪还揩病眼作花看,2,implicit negative（隐性负面）,negative,positive,False,True
御阁端午帖子,夏竦,宋,尚方绶带迎嘉节中禁彤闱纳美祥畴德珍符方瑞圣后天宸寿永无疆,5,positive（显性正面）,positive,positive,True,False
石勒问道图,元好问,元,轻比韩彭作李阳高僧久已笑君狂中原果有刘文叔肯说铃声替戾冈,3,neutral（中性）,neutral,positive,False,False
记正月二十五日西湖之游十五首,方回,宋,炎炎赫赫忽荒寒败瓦颓墙百顷宽谁识旧朝大丞相手携红妓倚阑干,2,implicit negative（隐性负面）,negative,neutral,False,True
丙申携客自康王观东北行十里观谷帘泉,魏了翁,宋,正喜昔闻今见之泉称第一更何疑此心好乐先为主但见忠谋皆我欺,4,implicit positive（隐性正面）,positive,positive,True,True
病后得句,费墨娟,淸,晓对菱花镜容光瘦几多生来原弱质小病不胜磨,2,implicit negative（隐性负面）,negative,neutral,False,True
古意,宋祁,宋,肆威矜逐逐索党恣狺狺盗跖真知道馀财欲污人,3,neutral（中性）,neutral,negative,False,False
题卞和泣玉圗手巻二首,叶颙,元,忍把连城价放低临刑刖足未心灰丈夫自古惭轻献女子从来耻自媒,3,neutral（中性）,neutral,negative,False,False
独立,方岳,宋,从来人说天难做才怨春阴又怨晴昨夜雷驱三尺水更愁桥断不通行,2,implicit negative（隐性负面）,negative,negative,True,True
寒食离白沙,张耒,宋,花枝袅袅水溶溶杨柳轻明二月风景物可怜人寂寞年年寒食醉眠中,2,implicit negative（隐性负面）,negative,positive,False,True
诗三首,刘季孙,宋,从来英杰自消磨好笑人间事更多艮上巽宫为进发千车安稳渡银河,2,implicit negative（隐性负面）,negative,positive,False,True
七夕,李梦阳,明,云寂露凉丛蕙悲意衔情恨隔年期残机夜歇金萤度怨女啼春玉箸垂,2,implicit negative（隐性负面）,negative,negative,True,True
蟋蟀,白玉蟾,宋,秋暮何聊饮不多素空皓月舞傞傞也知落叶风前拍似应寒蛩砌下歌,2,implicit negative（隐性负面）,negative,neutral,False,True
寒食离白沙,张耒,宋,莫惊客路已经年尚有青春一半妍试上芳堤望春野万丝杨柳拂晴天,4,implicit positive（隐性正面）,positive,positive,True,True
药轩,司马光,宋,雨馀条甲绕阶生往往桐君昔未名采贮不须勤暴篲秋阳日日满檐楹,3,neutral（中性）,neutral,negative,False,False
郡庠祭丁,陈琏,明,辉辉星斗露华凉济济衣冠祀素王六佾舞行分左右大晟乐韵协宫商,3,neutral（中性）,neutral,positive,False,False
残春三绝,张耒,宋,低檐送雨晚霏微湿透梅房白渐肥半捲画帘屏扇掩朦胧春睡拥春衣,3,neutral（中性）,neutral,neutral,True,False
望德安,庞嵩,明,残冬仲月趋郧楚隔岁初春望吉山树杪淡云欣着目溪边明月笑开颜,3,neutral（中性）,neutral,positive,False,False
奉和三日祓禊渭滨,李乂,唐,上林花鸟暮春时上巳陪游乐在兹此日欣逢临渭赏昔年空道济汾词,5,positive（显性正面）,positive,positive,True,False
州桥,王安石,宋,州桥蹋月想山椒回首哀湍未觉遥今夜重闻旧呜咽却看山月话州桥,2,implicit negative（隐性负面）,negative,negative,True,True
咏荷花中小莲蓬,杨万里,宋,山蜂愁雨损蜂儿叶底安巢更倒垂只有荷蜂不愁雨蜡房仰卧万花枝,4,implicit positive（隐性正面）,positive,positive,True,True
晓雨二首,陆游,宋,东风吹雨送残春冉冉年光次第新君看枝头如许绿争教桃李不成尘,5,positive（显性正面）,positive,positive,True,False
跋虞丞相与赵撙节使帖还其犹子济二首,杨万里,宋,虞丞相与赵将军同策江淮第一勋大羽进贤今寂寞凌烟颂里感风云,3,neutral（中性）,neutral,positive,False,False
追感往事五首,陆游,宋,文章光焰伏不起甚者自谓宗晚唐欧曾不生二苏死我欲痛哭天茫茫,2,implicit negative（隐性负面）,negative,negative,True,True
浑河中,李商隐,唐,九庙无尘八马回奉天城垒长春苔咸阳原上英雄骨半向君家养马来,3,neutral（中性）,neutral,positive,False,False
梦回,赵孟坚,宋,点点桃花短短墙雨声彻夜响回廊觉来蝴蝶家山梦一半分明一半忘,2,implicit negative（隐性负面）,negative,positive,False,True
晓寒二首,杨万里,宋,春光唤入百花丛寒力平欺两鬓蓬吹乱众红还复整海棠却不怕东风,3,neutral（中性）,neutral,positive,False,False
天台院有小阁下临官道予为名曰玉霄,陆游,宋,竹舆冲雨到天台緑树阴中小阁开牓作玉霄君会否要知散吏按行来,3,neutral（中性）,neutral,positive,False,False
又美人二首,耶律铸,元,倾危花界总花神谁计还丹与反真难说玉皇惆怅事分明羞杀月中人,3,neutral（中性）,neutral,neutral,True,False
别三辅诸僧,道会,唐,去住俱为客分悲损性情共作无期别谁能访死生,2,implicit negative（隐性负面）,negative,negative,True,True
无题,寇准,宋,金甲珠襦锁绣扃杜城残月葬娥英春风候馆花如雪空有莺传度曲声,2,implicit negative（隐性负面）,negative,neutral,False,True
冬至宿斋时郡君南内朝谒因寄,权德舆,唐,清斋独向丘园拜盛服想君兴庆朝明日一阳生百福不辞相望阻寒宵,4,implicit positive（隐性正面）,positive,positive,True,True
第一百八十三,文天祥,宋,名贤慎出处志士怀感伤犹残数行泪引古惜兴亡,2,implicit negative（隐性负面）,negative,positive,False,True
晚思,范成大,宋,藓墙莎砌响幽虫睡起翻书觉梦中残暑一窗风不动秋阳入竹碎青红,3,neutral（中性）,neutral,neutral,True,False
答人问良知二首,王守仁,明,良知即是独知时此知之外更无知谁人不有良知在知得良知却是谁,3,neutral（中性）,neutral,positive,False,False
山茱萸,王维,唐,朱实山下开清香寒更发幸与丛桂花窗前向秋月,3,neutral（中性）,neutral,positive,False,False
三月二十五日饮方校书园十绝,刘克庄,宋,才入中年会面难安知白首此团栾不妨时驾柴车出只作初骑竹马看,2,implicit negative（隐性负面）,negative,neutral,False,True
题画,姜桂,淸,暖风晴日值良辰窗外梅花数点新更想林泉清淑致山光树色写初春,4,implicit positive（隐性正面）,positive,positive,True,True
静吟,郑谷,唐,骚雅荒凉我未安月和馀雪夜吟寒相门相客应相笑得句胜于得好官,4,implicit positive（隐性正面）,positive,negative,False,True
舟过严陵滩将谒祠登台舟人夜解及明已远至桐庐望桐君山寺缥缈可爱遂以小舟游之二绝,苏辙,宋,严公钓濑不容看犹喜桐君有故山多病未须寻药录从今学取衲僧閒,4,implicit positive（隐性正面）,positive,negative,False,True
题定林壁怀李叔时,王安石,宋,云与渊明出风随禦寇还燎炉无伏火蕙帐冷空山,2,implicit negative（隐性负面）,negative,neutral,False,True
忆黄州梅花五绝,苏轼,宋,不用相催已白头一生判却见花羞扬州何逊吟情苦不枉清香与破愁,2,implicit negative（隐性负面）,negative,neutral,False,True
次江州王知府叔坚韵,张孝祥,宋,庐山突兀上霄汉使君豪气与相酬庐山虽好不足恋归矣当为苍生谋,3,neutral（中性）,neutral,negative,False,False
和傅山父小园十咏,李曾伯,宋,宜琴宜弈尤宜酒种竹种梅仍种莲意得无时不堪适可人不只是荷天,4,implicit positive（隐性正面）,positive,positive,True,True
送钟季烈奔丧豫章,谢榛,明,郎官才转汉西曹白舫归心日夜劳啼杀樯乌孤月惨九江寒色起风涛,2,implicit negative（隐性负面）,negative,negative,True,True
中书即事,晏殊,宋,惨惨高槐落凄凄馀菊寒粉墙多记墨聊为拂尘看,2,implicit negative（隐性负面）,negative,negative,True,True
秋暑夜起追凉二首,陆游,宋,漱罢寒泉弄月明浩然风露欲三更曲阑干畔踟躇久静听空廊络纬声,2,implicit negative（隐性负面）,negative,positive,False,True
钱舜举羽毛,王恭,明,娇鸟双飞恋浅红乐游原上晓嘶骢别来已少看花伴空对芳菲落画中,2,implicit negative（隐性负面）,negative,positive,False,True
杂咏三首,米芾,宋,侠少场中酒作雠不胜杯勺鬓今秋道言禅语须蔬食作意丹阳十日留,3,neutral（中性）,neutral,neutral,True,False
墙外卖药者九年无一日不过吟唱之声甚适雪中呼问之家有十口一日不出即饥寒矣,范成大,宋,十口啼号责望深宁容安稳坐毡针长鸣大咤欺风雪不是甘心是苦心,2,implicit negative（隐性负面）,negative,positive,False,True
李花二首,朱淑真,宋,小小琼英舒嫩白未饶深紫与轻红无言路侧谁知味惟有寻芳蝶与蜂,4,implicit positive（隐性正面）,positive,positive,True,True
华师,李商隐,唐,孤鹤不睡云无心衲衣筇杖来西林院门昼锁回廊静秋日当阶柿叶阴,3,neutral（中性）,neutral,neutral,True,False
走笔送王琪,梅尧臣,宋,江南二月草青青送子归时已满汀谁信而今有忠义祇知七日哭秦庭,2,implicit negative（隐性负面）,negative,positive,False,True
行迈杂篇六首,黄庭坚,宋,白白红红相间开三三五五踏青来戏随胡蝶不知远惊见行人笑却回,4,implicit positive（隐性正面）,positive,neutral,False,True
离齐州后五首,曾巩,宋,云帆十幅顺风行卧听随船白浪声好在西湖波上月酒醒还到纸窗明,3,neutral（中性）,neutral,positive,False,False
闲游,张籍,唐,终日不离尘土间若为能见此身闲今朝暂共游僧语更恨趋时别旧山,2,implicit negative（隐性负面）,negative,neutral,False,True
题舜举折枝桃,赵孟頫,元,醉里春归寻不得眼明忽见折枝花向来飞盖西园夜万烛高烧照烂霞,4,implicit positive（隐性正面）,positive,positive,True,True
隆之生女赋赠二首,陈吾德,明,昨夜欢声满玉堂争言宝婺下祥光卢家祇谓添丁喜未识传书是女郎,5,positive（显性正面）,positive,positive,True,False
野轩,司马光,宋,黄鸡白酒田间乐藜杖葛巾林下风更若食芹仍暴背野怀并在一轩中,3,neutral（中性）,neutral,neutral,True,False
自金陵西归至豫章发南浦亭宿黄家渡,杨万里,宋,过了重湖雪浪堆章江欲尽淦江来到家无此江山景画舫行迟不用催,3,neutral（中性）,neutral,positive,False,False
又次叶致远韵二首,王安石,宋,庵成有兴亦寻春风暖荒莱步始匀若遇好花须一笑岂妨迦叶杜多身,4,implicit positive（隐性正面）,positive,positive,True,True
行春辞,白玉蟾,宋,一斗百篇诚有之无人知我只春知吟逢蝴蝶即庄子醉见海棠真贵妃,3,neutral（中性）,neutral,positive,False,False
中𡼢春祀二首,刘克庄,宋,归鞍常苦夕阳催小憩聊分饮胙杯万一得年如小父尚堪十度扫松来,3,neutral（中性）,neutral,positive,False,False
暑中偶怀江上舟行,黄裳,宋,乐缘仁智两相宜好是斜阳未可归倒影沉沉长自在谩怀今古叹人非,2,implicit negative（隐性负面）,negative,positive,False,True
春宵有感,白玉蟾,宋,憎却堤边柳青丝复尔长自怜愁里鬓不觉暗中霜,2,implicit negative（隐性负面）,negative,negative,True,True
双溪馆,白玉蟾,宋,两点文章翰墨星夜翱双鹤入青冥楼前为忆张华剑八百年来无血腥,2,implicit negative（隐性负面）,negative,positive,False,True
